"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 14:00:39 CST 2023","Sat Jul 29 14:00:39 CST 2023","476","testcase","test_delete_account","TestDeleteAccount","","","test_delete_account[accountinfo0]",""
"passed","Sat Jul 29 14:00:44 CST 2023","Sat Jul 29 14:00:45 CST 2023","660","testcase","test_put_account","TestChangeAccount","","","test_change_no_data_account[findaccount0]",""
"passed","Sat Jul 29 14:00:39 CST 2023","Sat Jul 29 14:00:40 CST 2023","436","testcase","test_delete_account","TestDeleteAccount","","","test_delete_account_without_id[accountinfo0]",""
"passed","Sat Jul 29 14:00:38 CST 2023","Sat Jul 29 14:00:39 CST 2023","438","testcase","test_create_account","TestCreateAccount","","","test_create_account_body_without_type[accountinfo0]",""
"passed","Sat Jul 29 14:00:37 CST 2023","Sat Jul 29 14:00:37 CST 2023","485","testcase","test_create_account","TestCreateAccount","","","test_create_account_without_body[accountinfo0]",""
"passed","Sat Jul 29 14:00:42 CST 2023","Sat Jul 29 14:00:43 CST 2023","435","testcase","test_put_account","TestChangeAccount","","","test_no_authorized_account[findaccount0]",""
"passed","Sat Jul 29 14:00:42 CST 2023","Sat Jul 29 14:00:42 CST 2023","434","testcase","test_put_account","TestChangeAccount","","","test_change_account[findaccount0]",""
"passed","Sat Jul 29 14:00:40 CST 2023","Sat Jul 29 14:00:40 CST 2023","450","testcase","test_delete_account","TestDeleteAccount","","","test_delete_account_with_wrong_id[accountinfo0]",""
"passed","Sat Jul 29 14:00:34 CST 2023","Sat Jul 29 14:00:36 CST 2023","1978","testcase","test_account_list","TestAccountList","","","test_account_list[accountinfo0]",""
"passed","Sat Jul 29 14:00:38 CST 2023","Sat Jul 29 14:00:38 CST 2023","560","testcase","test_create_account","TestCreateAccount","","","test_create_account_body_with_gender[accountinfo0]",""
"passed","Sat Jul 29 14:00:42 CST 2023","Sat Jul 29 14:00:42 CST 2023","456","testcase","test_find_account","TestFindAccount","","","test_find_error_params_account[findaccount0]",""
"passed","Sat Jul 29 14:00:41 CST 2023","Sat Jul 29 14:00:42 CST 2023","467","testcase","test_find_account","TestFindAccount","","","test_find_no_id_account[findaccount0]",""
"passed","Sat Jul 29 14:00:41 CST 2023","Sat Jul 29 14:00:41 CST 2023","459","testcase","test_find_account","TestFindAccount","","","test_find_error_id_account[findaccount0]",""
"passed","Sat Jul 29 14:00:36 CST 2023","Sat Jul 29 14:00:37 CST 2023","443","testcase","test_create_account","TestCreateAccount","","","test_create_account[accountinfo0]",""
"passed","Sat Jul 29 14:00:37 CST 2023","Sat Jul 29 14:00:38 CST 2023","439","testcase","test_create_account","TestCreateAccount","","","test_create_account_without_headers[accountinfo0]",""
"passed","Sat Jul 29 14:00:40 CST 2023","Sat Jul 29 14:00:41 CST 2023","585","testcase","test_find_account","TestFindAccount","","","test_find_account[findaccount0]",""
"passed","Sat Jul 29 14:00:43 CST 2023","Sat Jul 29 14:00:44 CST 2023","1528","testcase","test_put_account","TestChangeAccount","","","test_change_no_id_account[findaccount0]",""
